"ID","Name","LongName","Parent","CLOC","LLOC","LOC","McCC","PDA","PUA"
"L11701","HomeActivity.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/src/main/java/com/whatEver/iitnstu/HomeActivity.java","L11695","0","92","174","3","12","1"
"L11702","IntroActivity.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/src/main/java/com/whatEver/iitnstu/IntroActivity.java","L11695","0","10","19","1","1","0"
"L11703","MainActivity.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/src/main/java/com/whatEver/iitnstu/MainActivity.java","L11695","0","36","60","1","1","0"
"L11704","NoticeBoardActivity.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/src/main/java/com/whatEver/iitnstu/NoticeBoardActivity.java","L11695","0","98","130","2","1","0"
"L11705","OfficialsActivity.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/src/main/java/com/whatEver/iitnstu/OfficialsActivity.java","L11695","0","46","69","1","1","0"
"L11706","ProfileActivity.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/src/main/java/com/whatEver/iitnstu/ProfileActivity.java","L11695","0","35","57","2","1","0"
"L11707","RegisterUserActivity.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/src/main/java/com/whatEver/iitnstu/RegisterUserActivity.java","L11695","0","132","180","5","1","0"
"L11708","SearchActivity.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/src/main/java/com/whatEver/iitnstu/SearchActivity.java","L11695","0","188","241","19","1","1"
"L11709","StudentAdapterActivity.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/src/main/java/com/whatEver/iitnstu/StudentAdapterActivity.java","L11695","0","58","83","1","1","0"
"L11710","StudentInfoActivity.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/src/main/java/com/whatEver/iitnstu/StudentInfoActivity.java","L11695","0","45","68","1","1","0"
"L11711","SyllabusActivity.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/src/main/java/com/whatEver/iitnstu/SyllabusActivity.java","L11695","0","61","121","1","9","0"
"L11712","TeachersInfoActivity.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/src/main/java/com/whatEver/iitnstu/TeachersInfoActivity.java","L11695","0","47","78","1","1","0"
"L16478","BatchCard.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/src/main/java/com/whatEver/iitnstu/cards/BatchCard.java","L16477","0","40","74","1","3","1"
"L16479","Card.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/src/main/java/com/whatEver/iitnstu/cards/Card.java","L16477","0","11","32","1","3","0"
"L16480","CourseCoCard.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/src/main/java/com/whatEver/iitnstu/cards/CourseCoCard.java","L16477","0","56","88","1","3","1"
"L16481","NoticeCard.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/src/main/java/com/whatEver/iitnstu/cards/NoticeCard.java","L16477","0","32","65","1","3","1"
"L16482","OfficialsCard.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/src/main/java/com/whatEver/iitnstu/cards/OfficialsCard.java","L16477","0","53","90","1","3","1"
"L16483","StudentCard.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/src/main/java/com/whatEver/iitnstu/cards/StudentCard.java","L16477","0","59","96","1","3","1"
"L16484","TeacherCard.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/src/main/java/com/whatEver/iitnstu/cards/TeacherCard.java","L16477","0","53","89","1","3","1"
"L16949","Batch.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/src/main/java/com/whatEver/iitnstu/models/Batch.java","L16948","0","37","94","1","10","0"
"L16950","CourseCo.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/src/main/java/com/whatEver/iitnstu/models/CourseCo.java","L16948","0","53","134","1","14","0"
"L16951","Notice.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/src/main/java/com/whatEver/iitnstu/models/Notice.java","L16948","0","45","104","1","10","1"
"L16952","Official.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/src/main/java/com/whatEver/iitnstu/models/Official.java","L16948","0","45","113","1","12","0"
"L16953","Student.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/src/main/java/com/whatEver/iitnstu/models/Student.java","L16948","0","30","74","1","7","0"
"L16954","Teacher.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/src/main/java/com/whatEver/iitnstu/models/Teacher.java","L16948","0","45","114","1","12","0"
"L17570","LoadingDialog.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/src/main/java/com/whatEver/iitnstu/tools/LoadingDialog.java","L17569","0","23","47","1","4","0"
"L17571","PdfViewer.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/src/main/java/com/whatEver/iitnstu/tools/PdfViewer.java","L17569","0","34","54","1","1","0"
"L11718","ExampleUnitTest.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/src/test/java/com/whatEver/iitnstu/ExampleUnitTest.java","L11717","0","9","17","1","1","1"
